Papel,Segmento,Cotacao,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
AAZQ11,Títulos e Val. Mob.,7.39,20.37%,17.51%,0.78,177636000,1261870.0,0,0.00,0.00,0.00%,0.00%
ABCP11,Shoppings,67.50,10.17%,9.25%,0.67,317863000,57613.0,1,4442.43,567.65,12.78%,2.44%
AFHI11,Títulos e Val. Mob.,97.17,9.76%,11.51%,1.01,388384000,1484810.0,0,0.00,0.00,0.00%,0.00%
AGRX11,Híbrido,9.71,13.84%,16.55%,0.96,173840000,295761.0,0,0.00,0.00,0.00%,0.00%
AIEC11,Lajes Corporativas,53.21,19.00%,17.66%,0.63,256738000,337791.0,2,10715.20,2098.55,19.58%,0.00%
AJFI11,Títulos e Val. Mob.,8.28,4.50%,6.57%,0.66,261863000,845356.0,0,0.00,0.00,3.62%,0.00%
ALMI11,Lajes Corporativas,626.01,4.93%,0.99%,0.29,69597900,23974.0,1,3875310.00,547722.35,14.13%,54.50%
ALZC11,Títulos e Val. Mob.,97.00,14.54%,3.60%,0.96,37772700,41566.0,0,0.00,0.00,0.00%,0.00%
ALZM11,Títulos e Val. Mob.,8.00,7.24%,12.13%,0.95,121444000,204345.0,0,0.00,0.00,0.00%,0.00%
ALZR11,Híbrido,108.54,7.62%,8.33%,1.02,1166750000,2247030.0,14,5303.30,410.01,7.73%,0.00%
ANCR11,Shoppings,77.99,384.83%,1.23%,0.02,52126600,13.0,5,213.44,1304.06,610.98%,4.42%
APTO11,Híbrido,9.61,10.74%,10.87%,0.95,44323500,23352.0,4,17757.20,1193.43,6.72%,0.00%
APXM11,Híbrido,99.99,7.09%,5.75%,1.04,175982000,111929.0,1,1735.14,119.17,6.87%,10.49%
AROA11,Outros,1.00,5.67%,4.13%,1.01,170034000,5209.0,6,3695.35,244.92,6.63%,0.00%
ARRI11,Títulos e Val. Mob.,9.05,7.90%,12.34%,1.03,138776000,460029.0,0,0.00,0.00,0.00%,0.00%
ARXD11,Títulos e Val. Mob.,98.00,7.94%,11.84%,0.99,64179700,35893.0,0,0.00,0.00,0.00%,0.00%
ASMT11,Híbrido,39.69,6.64%,0.00%,0.44,42915100,11619.0,3,3697.66,751.73,20.33%,0.00%
ASRF11,Híbrido,10840.80,-0.19%,0.00%,1.11,31893600,103852.0,2,4295.15,0.00,0.00%,0.00%
ATSA11,Shoppings,55.79,-0.07%,1.27%,0.73,97696200,189.0,1,2868.74,13.19,0.46%,17.12%
AURB11,Logística,85.62,3.06%,0.00%,1.07,76640000,78.0,2,2247.02,129.15,5.75%,50.82%
BARI11,Títulos e Val. Mob.,81.94,9.96%,10.13%,0.89,379726000,756854.0,1,0.00,0.00,0.00%,0.00%
