ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos
GPAR3,47.50,-47308.2,5.00,833.441,0.00%,4.629,15.96,2181.36,20.24,2076.71,2083.92,38.21%,-1.76%,23.85,0.28%,-0.01%,-47308.2,757009000.00,0.02,-63.08%
GNDI3,66.95,-3584.82,5.84,3.423,2.39%,2.378,79.65,87.05,-6.21,91.13,50.88,3.93%,-0.09%,1.17,3.09%,-0.16%,-3584.82,7116080000.00,0.53,25.23%
PLDN4,486.00,-553.07,1.08,0.919,0.00%,0.611,1.07,-75.56,3.10,-33.12,-33.12,-1.22%,-0.17%,10.81,-1.27%,-0.20%,-553.07,289939000.00,0.01,10.26%
LCSA4,35.09,-337.52,-228.00,79.738,0.00%,125.308,-202.27,-505.80,-96.61,-506.56,-506.56,-15.77%,-23.63%,0.29,-28.74%,67.55%,-337.52,-377568000.00,-0.35,6354.07%
ENEV3,13.41,-321.47,1.72,2.205,0.00%,0.493,19.25,8.17,-0.93,14.88,9.33,26.99%,1.53%,1.26,6.48%,-0.54%,-321.47,12326800000.00,1.61,33.95%
LVTC3,3.66,-316.82,0.37,0.273,0.00%,0.168,0.70,1.30,-1.30,0.77,0.37,21.03%,-0.09%,2.37,15.39%,-0.12%,-316.82,640698000.00,0.00,-10.54%
BAHI4,86.00,-286.17,21.59,6.106,0.00%,4.038,-19.53,-695.13,-5.41,-724.01,179.23,-0.88%,-1.77%,0.24,-0.61%,-7.54%,-286.17,105139000.00,1.06,42.62%
BHGR3,19.10,-272.16,1.10,3.613,0.00%,0.855,-194.45,23.70,-8.56,25.95,14.20,15.24%,-1.31%,0.96,3.93%,-0.40%,-272.16,1077600000.00,0.20,20.67%
DMMO3,1.76,-258.65,-1.72,2.854,0.00%,3.346,11.90,6.37,-1.37,5.90,5.42,44.81%,-1.10%,2.25,70.39%,0.66%,-258.65,-553275000.00,0.00,-17.37%
PRGA4,75.00,-257.76,8.29,2.345,0.00%,2.204,17.94,59.24,-8.23,63.85,25.10,3.96%,-0.47%,1.37,6.22%,-3.21%,-257.76,15228100000.00,1.30,12.17%
RJCP3,0.01,-224.7,0.65,0.000,0.00%,0.619,0.00,-522.94,0.00,-523.96,-917.32,0.00%,0.00%,0.00,0.00%,-0.29%,-224.7,17287200.00,0.00,0.00%
BAHI5,65.00,-216.29,16.32,4.615,0.00%,3.052,-14.76,-525.39,-4.09,-554.27,137.21,-0.88%,-1.77%,0.24,-0.61%,-7.54%,-216.29,105139000.00,1.06,42.62%
ABYA3,4.91,-214.8,1.76,2.055,0.00%,0.527,1.98,19.96,-2.75,33.67,33.67,10.29%,-0.96%,2.09,2.78%,-0.82%,-214.8,292060000.00,1.31,16.41%
PITI4,1.28,-204.74,0.00,0.000,0.00%,0.000,0.00,-2637.65,0.00,-2637.65,111.07,0.00%,0.00%,0.00,0.00%,0.00%,-204.74,0.00,0.00,-29.63%
CALI4,50.00,-160.94,7.65,2.590,0.00%,0.835,75.08,-36.87,-1.17,-45.57,-54.88,-7.03%,-1.61%,1.07,-2.39%,-4.76%,-160.94,24305000.00,2.10,94.53%
LCSA3,12.50,-120.23,-81.22,28.405,0.00%,44.638,-72.05,-180.18,-34.41,-180.95,-180.95,-15.77%,-23.63%,0.29,-28.74%,67.55%,-120.23,-377568000.00,-0.35,6354.07%
MAGG3,59.40,-119.98,1.32,0.684,0.00%,0.440,9.32,4.07,-1.55,6.41,5.34,16.82%,-0.57%,1.14,14.05%,-1.10%,-119.98,2246130000.00,1.03,9.27%
SQIA3,27.37,-110.33,3.70,3.592,0.00%,1.490,25.87,62.33,-3.84,67.32,18.50,5.76%,-2.88%,1.43,2.81%,-3.35%,-110.33,650717000.00,0.65,46.32%
LINX3,37.40,-90.95,4.38,7.885,1.52%,2.745,11.96,53.17,47.06,51.49,22.97,14.83%,-8.67%,2.14,6.82%,-4.81%,-90.95,1619010000.00,0.22,15.54%
BNCA3,70.30,-90.3,2.45,0.000,0.00%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,-2.72%,-90.3,3068150000.00,0.00,2.41%
