ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos
GNDI3,66.95,-3584.82,5.84,3.423,2.39%,2.378,79.65,87.05,-6.21,91.13,50.88,3.93%,-0.09%,1.17,3.09%,-0.16%,-3584.82,7116080000.00,0.53,25.23%
CALI4,50.00,-1134.45,6.27,3.665,0.00%,0.757,6.97,-9.00,-1.32,-11.45,-12.81,-40.70%,-0.32%,1.55,-8.89%,-0.55%,-1134.45,29660000.00,1.98,36.85%
CALI3,25.00,-567.23,3.14,1.832,2.47%,0.378,3.49,-4.50,-0.66,-6.95,-7.78,-40.70%,-0.32%,1.55,-8.89%,-0.55%,-567.23,29660000.00,1.98,36.85%
VSTE3,7.99,-560.53,0.88,0.840,0.59%,0.555,4.50,26.94,-7.96,35.18,5.67,3.12%,-0.15%,1.69,2.29%,-0.16%,-560.53,1031380000.00,0.31,14.82%
PLDN4,486.00,-553.07,1.08,0.919,0.00%,0.611,1.07,-75.56,3.10,-33.12,-33.12,-1.22%,-0.17%,10.81,-1.27%,-0.20%,-553.07,289939000.00,0.01,10.26%
GPAR3,47.00,-511.8,4.87,250.926,0.00%,4.540,16.21,634.39,20.16,603.58,608.73,39.55%,-49.03%,21.74,0.94%,-0.95%,-511.8,768483000.00,0.02,-63.40%
LCSA4,35.09,-337.52,-228.00,79.738,0.00%,125.308,-202.27,-505.80,-96.61,-506.56,-506.56,-15.77%,-23.63%,0.29,-28.74%,67.55%,-337.52,-377568000.00,-0.35,6354.07%
BHGR3,19.10,-272.16,1.10,3.613,0.00%,0.855,-194.45,23.70,-8.56,25.95,14.20,15.24%,-1.31%,0.96,3.93%,-0.40%,-272.16,1077600000.00,0.20,20.67%
DMMO3,1.76,-258.65,-1.72,2.854,0.00%,3.346,11.90,6.37,-1.37,5.90,5.42,44.81%,-1.10%,2.25,70.39%,0.66%,-258.65,-553275000.00,0.00,-17.37%
RJCP3,0.01,-224.7,0.65,0.000,0.00%,0.619,0.00,-522.94,0.00,-523.96,-917.32,0.00%,0.00%,0.00,0.00%,-0.29%,-224.7,17287200.00,0.00,0.00%
ABYA3,4.91,-214.8,1.76,2.055,0.00%,0.527,1.98,19.96,-2.75,33.67,33.67,10.29%,-0.96%,2.09,2.78%,-0.82%,-214.8,292060000.00,1.31,16.41%
PITI4,1.28,-204.74,0.00,0.000,0.00%,0.000,0.00,-2637.65,0.00,-2637.65,111.07,0.00%,0.00%,0.00,0.00%,0.00%,-204.74,0.00,0.00,-29.63%
MGEL3,25.00,-173.57,6.25,0.156,0.00%,0.190,0.87,2.09,-0.40,10.29,7.87,7.46%,-0.09%,1.78,10.54%,-3.60%,-173.57,23116000.00,27.50,13.80%
SCLO3,14.10,-161.14,-96.94,0.000,0.00%,280.040,-93.32,-161.14,-87.50,-161.38,-161.38,0.00%,0.00%,0.19,-205.97%,60.16%,-161.14,-139635.00,-0.19,0.00%
LCSA3,12.50,-120.23,-81.22,28.405,0.00%,44.638,-72.05,-180.18,-34.41,-180.95,-180.95,-15.77%,-23.63%,0.29,-28.74%,67.55%,-120.23,-377568000.00,-0.35,6354.07%
MAGG3,59.40,-119.98,1.32,0.684,0.00%,0.440,9.32,4.07,-1.55,6.41,5.34,16.82%,-0.57%,1.14,14.05%,-1.10%,-119.98,2246130000.00,1.03,9.27%
SQIA3,27.37,-110.33,3.70,3.592,0.00%,1.490,25.87,62.33,-3.84,67.32,18.50,5.76%,-2.88%,1.43,2.81%,-3.35%,-110.33,650717000.00,0.65,46.32%
NATU3,36.86,-109.22,3.66,2.066,0.00%,1.740,5.31,10.44,13.36,10.19,9.79,19.80%,-1.89%,2.00,27.58%,-3.35%,-109.22,9265610000.00,0.26,-7.25%
LINX3,37.40,-90.95,4.38,7.885,1.52%,2.745,11.96,53.17,47.06,51.49,22.97,14.83%,-8.67%,2.14,6.82%,-4.81%,-90.95,1619010000.00,0.22,15.54%
BNCA3,70.30,-90.3,2.45,0.000,0.00%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,-2.72%,-90.3,3068150000.00,0.00,2.41%
CLSA3,9.85,-75.31,2.66,3.868,0.00%,2.158,5.27,-26.30,5.54,-21.30,-62.40,-14.71%,-5.14%,3.44,-15.16%,-3.53%,-75.31,697085000.00,0.02,-1.16%
AMIL3,32.20,-73.28,7.70,1.129,0.00%,2.003,-16.95,136.58,-5.43,138.61,50.13,0.83%,-1.53%,0.75,2.22%,-10.51%,-73.28,1532980000.00,1.24,28.47%
LOGN3,21.50,-69.48,2.47,0.883,0.00%,0.617,11.05,12.02,-1.28,18.93,7.91,7.34%,-1.27%,1.26,5.84%,-3.55%,-69.48,935363000.00,1.79,26.19%
BRTP3,35.71,-67.26,2.45,1.168,0.00%,0.684,8.98,6.03,-2.40,7.55,7.55,19.37%,-2.96%,1.29,13.41%,-3.64%,-67.26,5302340000.00,0.91,3.66%
IDVL11,140.00,-66.0,60.56,0.000,0.00%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,-91.76%,-66.0,237683000.00,0.00,0.00%
AMBP3,112.39,-65.98,10.63,3.053,0.00%,1.325,4.80,16.26,-3.42,20.49,14.12,18.77%,-2.17%,3.01,11.35%,-16.11%,-65.98,1765850000.00,4.87,59.61%
DOHL3,8.00,-56.36,0.88,0.958,0.00%,0.626,1.42,-62.71,2.31,-70.58,72.81,-1.53%,-1.70%,4.69,-1.08%,-1.56%,-56.36,687552000.00,0.17,4.46%
PEFX5,19.00,-52.04,1.68,0.477,0.00%,0.597,20.34,5.75,-3.18,6.59,0.00,8.30%,-0.92%,1.07,11.77%,-3.24%,-52.04,396955000.00,0.31,4.36%
PEFX3,19.00,-52.04,1.68,0.477,0.00%,0.597,20.34,5.75,-3.18,6.59,0.00,8.30%,-0.92%,1.07,11.77%,-3.24%,-52.04,396955000.00,0.31,4.36%
MTIG4,23.00,-49.52,-359.15,56.001,0.00%,36.906,-50.93,-94.31,-44.00,-95.57,-104.60,-59.38%,-113.09%,0.27,-47.80%,725.28%,-49.52,-7835380.00,-4.95,-26.54%
RAIL3,18.30,-48.75,2.26,2.593,0.50%,0.681,5.96,6.66,-1.48,9.07,4.58,38.96%,-5.26%,1.96,12.29%,-4.65%,-48.75,14987400000.00,1.30,17.23%
TOYB4,2.50,-47.96,-5.43,5.256,0.00%,4.405,-6.47,-9.04,-3.83,-9.15,-9.67,-58.16%,-10.96%,0.49,-59.36%,11.31%,-47.96,-13852000.00,-0.07,-26.99%
IMBI3,5.01,-46.42,2.81,2659.020,0.00%,0.518,-2.21,-97.12,-0.37,-104.72,-107.45,-2737.88%,-13821.20%,0.05,-0.54%,-6.05%,-46.42,62544000.00,0.22,-57.16%
CLAN4,3.00,-44.92,0.47,15.151,0.00%,0.406,-15.50,-82.56,-6.36,-97.43,22.68,-18.35%,-33.73%,0.73,-0.50%,-1.05%,-44.92,1012240000.00,0.08,-63.96%
MGEL4,6.41,-44.5,1.60,0.040,0.00%,0.049,0.22,0.54,-0.10,8.74,6.68,7.46%,-0.09%,1.78,10.54%,-3.60%,-44.5,23116000.00,27.50,13.80%
TOYB3,2.29,-43.94,-4.97,4.815,0.00%,4.035,-5.93,-8.28,-3.50,-8.39,-8.87,-58.16%,-10.96%,0.49,-59.36%,11.31%,-43.94,-13852000.00,-0.07,-26.99%
EBTP3,10.21,-43.56,1.17,0.548,0.00%,0.353,-502.47,6.42,-0.73,8.46,2.85,8.53%,-1.03%,0.99,6.03%,-2.68%,-43.56,10782200000.00,0.39,22.10%
EBTP4,10.00,-42.66,1.14,0.537,0.00%,0.346,-492.13,6.29,-0.71,8.33,2.81,8.53%,-1.03%,0.99,6.03%,-2.68%,-42.66,10782200000.00,0.39,22.10%
CBEE3,10.01,-40.1,0.52,0.353,0.00%,0.161,-0.97,2.68,-0.32,8.28,4.80,13.14%,-0.88%,0.52,6.51%,-1.28%,-40.1,5721310000.00,1.11,6.83%
FBRA4,34.58,-39.57,1.66,0.457,0.00%,0.738,18.94,7.40,-4.43,10.62,10.62,6.18%,-1.15%,1.11,11.94%,-4.20%,-39.57,213406000.00,0.77,12.48%
BRTP4,20.81,-39.19,1.43,0.681,0.00%,0.399,5.23,3.51,-1.40,5.03,5.03,19.37%,-2.96%,1.29,13.41%,-3.64%,-39.19,5302340000.00,0.91,3.66%
ITEC3,40.10,-35.12,22.04,2611.690,0.00%,9.216,25.42,-26.00,-68.91,-24.80,-29.56,-10044.70%,-7435.88%,5.23,-63.06%,-62.76%,-35.12,20143000.00,0.00,-74.79%
HAPV3,2.38,-33.67,0.37,0.638,0.00%,0.243,6.67,18.31,-1.16,22.05,10.94,3.48%,-1.89%,1.39,1.48%,-1.09%,-33.67,48687500000.00,0.23,34.85%
APER3,46.75,-32.82,2.02,2.677,0.00%,1.015,115.28,14.43,-4.33,15.41,11.57,18.55%,-8.24%,1.03,8.33%,-6.15%,-32.82,472202000.00,0.40,42.20%
PTBL3,3.56,-32.71,1.27,0.215,0.00%,0.155,-2.20,5.36,-0.29,16.15,5.71,4.01%,-0.66%,0.83,3.68%,-3.89%,-32.71,394826000.00,3.02,15.55%
IMBI4,3.50,-32.43,1.96,1857.600,0.00%,0.362,-1.54,-67.85,-0.26,-75.44,-77.41,-2737.88%,-13821.20%,0.05,-0.54%,-6.05%,-32.43,62544000.00,0.22,-57.16%
PRTX3,2.77,-32.27,-145.32,297.651,0.00%,1.400,-2.57,-97.11,-1.43,-128.99,37.19,-306.50%,-922.47%,0.05,-1.50%,450.37%,-32.27,-18917000.00,-49.85,307.96%
DFVA3,9.90,-31.38,60.69,4.327,0.00%,5.365,29.10,-55.91,-31.47,-58.28,-58.28,-7.74%,-13.79%,1.33,-10.35%,-193.42%,-31.38,1170000.00,2.84,3.39%
ASTA4,25.83,-30.79,1.00,0.652,0.00%,0.446,2.57,19.90,-3.30,33.20,33.20,3.28%,-2.12%,1.71,2.52%,-3.25%,-30.79,515672000.00,0.85,-4.73%
VGOR4,5.87,-29.58,7.18,1.229,0.00%,1.468,113.97,27.32,-3.22,34.09,34.09,4.50%,-4.59%,1.04,6.00%,-24.29%,-29.58,135178000.00,1.89,4.77%
CRBM3,90.00,-28.95,3.26,1.498,0.00%,1.172,2.98,-15.45,16.90,-14.17,-14.17,-9.70%,-5.18%,2.24,-12.71%,-11.28%,-28.95,827347000.00,0.45,-1.58%
MAPT4,5.49,-28.83,-0.79,0.000,0.00%,6.527,-388.10,-37.10,-0.70,-37.10,-37.10,0.00%,0.00%,0.00,-17.59%,2.73%,-28.83,-6399000.00,0.00,0.00%
DOHL4,3.89,-27.4,0.43,0.466,0.00%,0.304,0.69,-30.49,1.12,-38.36,39.58,-1.53%,-1.70%,4.69,-1.08%,-1.56%,-27.4,687552000.00,0.17,4.46%
ARTR3,10.01,-25.92,1.23,0.834,0.00%,0.260,8.86,3.46,-0.40,10.63,6.10,24.14%,-3.22%,1.28,8.63%,-4.74%,-25.92,4689590000.00,3.10,12.32%
DFVA4,8.00,-25.35,49.04,3.497,0.00%,4.335,23.51,-45.18,-25.43,-47.55,-47.55,-7.74%,-13.79%,1.33,-10.35%,-193.42%,-25.35,1170000.00,2.84,3.39%
ALPK3,2.47,-25.04,1.50,0.353,0.00%,0.203,-2.58,1.51,-0.31,5.01,2.98,23.41%,-0.96%,0.71,16.04%,-6.00%,-25.04,356524000.00,4.26,25.63%
KROT11,40.00,-24.19,0.92,1.770,0.00%,0.449,6.69,8.41,-1.53,12.93,8.50,21.04%,-7.56%,1.61,5.89%,-3.82%,-24.19,11616200000.00,0.59,2.41%
PTBL4,2.59,-23.79,0.92,0.157,0.00%,0.112,-1.60,3.90,-0.21,14.69,5.19,4.01%,-0.66%,0.83,3.68%,-3.89%,-23.79,394826000.00,3.02,15.55%
AESB3,8.11,-23.75,1.66,1.844,0.64%,0.333,-8.98,8.21,-0.60,20.33,9.52,22.46%,-4.56%,0.84,4.59%,-7.01%,-23.75,4184440000.00,2.96,42.13%
MODL3,3.08,-22.99,1.88,0.000,0.71%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,-8.17%,-22.99,1154890000.00,0.00,-62.37%
