ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,LPA,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos,avg_return,volatility,cumulative_return,sharpe_ratio
PRIO3,45.47,8.01,2.63,3.3,0.16%,1.318,12.85,5.69,-4.72,6.68,4.7,58.03%,41.20%,1.87,27.31%,32.89%,5.67665418227216,8.01,15396500000.0,0.72,66.69%,0.7501056434775757,0.038938738589551,20.92448926828554,1.1155203916997642
DEXP3,10.35,5.54,1.27,0.585,4.94%,0.675,1.42,6.01,2.34,5.12,4.3,9.74%,12.19%,3.57,16.90%,22.86%,1.8682310469314078,5.54,768208000.0,0.35,21.08%,0.6677857510548479,0.0416792624815716,15.80724649645244,1.0031821883870038
NUTR3,4.89,11.82,1.75,0.32,0.00%,0.574,2.04,5.66,95.66,6.23,5.79,5.65%,2.70%,1.71,13.05%,14.78%,0.41370558375634514,11.82,37072000.0,0.2,32.93%,0.6628256652156257,0.0616727638797374,15.53333280351428,0.8579969908879651
RSUL4,69.86,7.72,2.08,1.212,3.04%,1.092,3.62,4.82,14.8,4.16,3.87,25.15%,15.70%,2.23,30.15%,26.89%,9.049222797927461,7.72,204347000.0,0.06,22.21%,0.549812976116389,0.0284746552066074,10.213132854302954,1.0416583727288795
BMEB4,29.45,5.96,1.85,0.0,4.48%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,30.96%,4.941275167785235,5.96,1672510000.0,0.0,19.43%,0.4632252615988752,0.0235542813117472,7.165517346612381,1.023206208344791
BPAC3,15.39,16.76,3.41,0.0,2.57%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,20.33%,0.9182577565632458,16.76,51962100000.0,0.0,51.65%,0.4469271308024158,0.0359984436334333,6.676216481787812,0.8017502054426192
BMEB3,26.68,5.4,1.67,0.0,4.49%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,30.96%,4.940740740740741,5.4,1672510000.0,0.0,19.43%,0.4459864418052806,0.0337455565507595,6.648725274456615,0.8208980597512185
MRSA5B,28.5,7.03,1.44,1.407,3.12%,0.545,7.51,3.47,-1.42,4.77,3.57,40.53%,20.01%,1.44,19.72%,20.44%,4.0540540540540535,7.03,6701670000.0,0.99,22.21%,0.4149451260616872,0.0421393582151831,5.785714593874368,0.6416017558341752
WLMM4,31.4,9.74,1.57,0.417,4.51%,1.295,2.77,7.44,3.27,7.25,7.01,5.60%,4.28%,5.56,19.07%,16.12%,3.223819301848049,9.74,728425000.0,0.03,26.88%,0.3912108930091693,0.0303234428457653,5.181102379943098,0.7841149892241641
MNPR3,13.5,7.84,-0.3,0.262,0.00%,0.284,-0.26,1.81,-0.21,1.81,1.5,14.50%,3.35%,0.34,16.53%,-3.88%,1.721938775510204,7.84,-315013000.0,0.0,12.53%,0.3710025648838917,0.0438621449999717,4.701754457512514,0.6868460550569514
BRGE5,13.18,33.11,0.73,273.039,0.00%,0.325,0.85,-1.39,1.65,0.89,0.91,-19636.90%,1381.29%,3.06,-50.03%,2.21%,0.39806704922983993,33.11,1324180000.0,0.0,-45.61%,0.3586416338073446,0.0731348620023476,4.423868289338892,0.6322284710819615
CPLE5,14.0,19.3,1.71,1.955,3.43%,0.753,10.87,11.88,-2.45,14.51,10.39,16.45%,10.41%,1.39,7.40%,8.86%,0.7253886010362695,19.3,24417600000.0,0.62,6.54%,0.3572154045424334,0.0914564538996733,4.392531908506255,0.5007533187119607
