ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,LPA,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos,avg_return,volatility,cumulative_return,sharpe_ratio,Earn. Yield
MMAQ3,2550.01,2.83,0.33,0.075,0.00%,0.144,0.51,-4.72,0.53,-4.62,-7.65,-1.59%,2.65%,1.51,-6.21%,11.84%,901.0636042402828,2.83,281668000.0,0.27,27.07%,2.070692205228587,21.96514620065424,849.0033365885416,0.4104911835007884,35.3356890459364
HETA3,96.0,60.97,-0.14,11.769,0.00%,3.356,-63.5,13.18,-0.14,100.55,100.55,89.30%,19.30%,0.84,25.49%,-0.23%,1.5745448581269477,60.97,-351178000.0,-0.92,31.09%,0.6958344728638091,0.1673736047343772,22.940148259485017,0.5220661071054351,1.6401508938822373
PRIO3,41.63,7.61,2.05,2.645,0.00%,0.862,2.7,5.21,-4.74,6.29,4.78,50.75%,34.74%,5.01,23.51%,26.94%,5.470433639947438,7.61,18191400000.0,1.07,72.31%,0.642916835053025,0.0377177506868975,18.78563231000122,1.0242600918273594,13.14060446780552
MMAQ4,2550.01,2.83,0.33,0.075,7.36%,0.144,0.51,-4.72,0.53,-4.62,-7.65,-1.59%,2.65%,1.51,-6.21%,11.84%,901.0636042402828,2.83,281668000.0,0.27,27.07%,0.5785961095194609,0.3767467303636433,14.562126206928212,0.3985109822591005,35.3356890459364
NUTR3,3.99,6.93,1.3,0.28,0.00%,0.446,1.46,3.99,6.28,4.64,4.36,7.02%,4.04%,1.72,13.70%,18.82%,0.5757575757575758,6.93,40524000.0,0.31,26.41%,0.5417108151096857,0.059635112479273,12.500000099341056,0.7803032494723239,14.43001443001443
DEXP3,8.2,5.48,0.94,0.514,5.82%,0.592,1.28,5.9,2.19,5.06,4.19,8.71%,10.31%,3.61,15.01%,17.16%,1.4963503649635035,5.48,952856000.0,0.28,15.90%,0.5411801152757902,0.0404014412406223,12.472084480177225,0.8894537606625302,18.248175182481752
BMEB4,38.19,5.74,2.06,0.0,5.77%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,35.91%,6.653310104529616,5.74,1942290000.0,0.0,21.78%,0.4742838419813386,0.0241963467162782,9.317241800242517,1.0261677031644942,17.421602787456447
MNPR3,22.05,48.35,-0.49,0.466,0.00%,0.446,-0.41,3.53,-0.33,3.52,2.94,13.21%,0.97%,0.34,13.50%,-1.01%,0.4560496380558428,48.35,-319189000.0,0.0,8.80%,0.4561892357700474,0.0432723782376267,8.57894755554553,0.7774473369198459,2.0682523267838677
BMEB3,32.0,4.81,1.73,0.0,6.25%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,35.91%,6.652806652806653,4.81,1942290000.0,0.0,21.78%,0.4428978079882602,0.0334290433742928,8.065155880837466,0.8200128478141772,20.79002079002079
RSUL4,55.0,6.03,1.51,0.911,3.87%,0.862,2.73,3.89,7.87,3.52,3.27,23.43%,15.09%,2.42,26.54%,25.08%,9.12106135986733,6.03,220737000.0,0.06,18.16%,0.4386460990639516,0.027666438498381,7.905737285005957,0.8875881331964522,16.58374792703151
ODER4,100.0,38.72,2.13,1.682,0.98%,1.131,2.31,26.28,4.14,28.76,20.65,6.40%,4.34%,2.93,5.29%,5.50%,2.5826446280991737,38.72,529795000.0,0.41,9.75%,0.4377682245763592,0.0798092801259682,7.873114102769362,0.5309263535772201,2.5826446280991737
MRSA5B,29.9,7.1,1.34,1.403,2.97%,0.56,13.9,3.74,-1.42,5.13,3.77,37.54%,19.77%,1.27,17.85%,18.95%,4.211267605633803,7.1,7515520000.0,0.8,20.87%,0.3860509376631038,0.0405827947664749,6.119047851519263,0.617854690721387,14.084507042253522
BPAC3,13.98,14.12,2.86,0.0,2.05%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,20.25%,0.9900849858356942,14.12,56270400000.0,0.0,14.46%,0.383068773763471,0.0350339079547475,6.027452171322612,0.7270596017812356,7.0821529745042495
WLMM4,30.5,7.96,1.46,0.339,4.55%,0.967,2.58,5.83,3.45,6.37,6.19,5.82%,4.26%,2.55,19.35%,18.33%,3.8316582914572863,7.96,761138000.0,0.31,31.31%,0.350904830339888,0.029747059780698,5.100393747350642,0.7271887207500795,12.562814070351758
CTKA4,21.5,1.97,-2.36,0.191,0.00%,0.205,0.68,2.03,-0.54,8.1,6.29,9.39%,9.66%,1.74,13.01%,-119.38%,10.913705583756345,1.97,-56602000.0,-8.0,16.59%,0.3503245588402364,0.0542032548853639,5.0846561307098845,0.6724352457840516,50.76142131979695
WEGE3,53.52,36.87,11.39,6.288,1.41%,6.186,21.55,27.66,28.42,27.28,25.01,22.74%,17.74%,1.78,30.00%,30.89%,1.4515866558177382,36.87,19724500000.0,0.15,21.39%,0.3410044999911141,0.0227832337743463,4.83648526769395,0.8031279816270976,2.712232167073502
BRGE5,13.18,33.11,0.73,273.039,0.00%,0.325,0.85,-1.39,1.65,0.89,0.91,-19636.90%,1381.29%,3.06,-50.03%,2.21%,0.39806704922983993,33.11,1324180000.0,0.0,-45.61%,0.324750423913646,0.0700630626202941,4.423868289338892,0.6002182020079868,3.0202355783751136
MRSA3B,32.0,7.59,1.44,1.501,0.00%,0.599,14.87,4.0,-1.52,5.4,3.96,37.54%,19.77%,1.27,17.85%,18.95%,4.216073781291173,7.59,7515520000.0,0.8,20.87%,0.3210466763238533,0.0448415182772607,4.333333333333333,0.5783700014114941,13.175230566534916
